,SPY,XLF,XLK,XLE,XLV,XLI,XLY,XLP,XLU,XLB,TLT,GLD,USO,HYG,UUP,^VIX
2016-07-25,184.54534912109375,15.952167510986328,20.600717544555664,22.304161071777344,63.36418151855469,48.815330505371094,36.829490661621094,42.388309478759766,19.19166374206543,19.892847061157227,104.74995422363281,125.47000122070312,81.04000091552734,50.53860855102539,21.02703285217285,12.869999885559082
2016-07-26,184.6305389404297,15.96567440032959,20.645732879638672,22.434070587158203,63.25419998168945,49.21946716308594,36.784420013427734,42.059532165527344,19.024051666259766,20.04435157775879,104.9161376953125,126.0,80.63999938964844,50.34410858154297,21.001970291137695,13.050000190734863
2016-07-27,184.43460083007812,15.958914756774902,20.816761016845703,22.214229583740234,63.54180908203125,49.02581024169922,36.671775817871094,41.432579040527344,18.80542755126953,20.068920135498047,106.22267150878906,128.02999877929688,79.19999694824219,50.49734115600586,20.901721954345703,12.829999923706055
2016-07-28,184.64756774902344,15.992674827575684,20.830265045166016,22.21755027770996,63.48260498046875,49.008975982666016,36.739349365234375,41.6160774230957,18.87830352783203,20.04025650024414,106.02632904052734,127.66000366210938,77.36000061035156,50.28518295288086,20.893367767333984,12.720000267028809
2016-07-29,184.9456787109375,15.96567440032959,20.90677833557129,22.444059371948242,63.60948944091797,48.86585235595703,36.77991485595703,41.822532653808594,18.991256713867188,19.937881469726562,106.90990447998047,128.97999572753906,78.08000183105469,50.332332611083984,20.60933494567871,11.869999885559082
2016-08-01,184.79232788085938,15.9251708984375,20.947288513183594,21.70458984375,64.01549530029297,48.80690002441406,36.838497161865234,41.86838912963867,19.00218963623047,19.827320098876953,105.7508544921875,129.22000122070312,75.27999877929688,50.04997253417969,20.667810440063477,12.4399995803833
2016-08-02,183.60833740234375,15.790145874023438,20.789756774902344,21.901113510131836,63.77018737792969,48.352264404296875,36.288726806640625,41.80723190307617,18.87830352783203,19.774089813232422,104.66130065917969,130.27000427246094,74.63999938964844,49.97894287109375,20.525794982910156,13.369999885559082
2016-08-03,184.14498901367188,15.952167510986328,20.861770629882812,22.32414436340332,63.592552185058594,48.5880241394043,36.39237594604492,41.57784652709961,18.76534652709961,19.82322883605957,104.72181701660156,129.64999389648438,77.5199966430664,50.203880310058594,20.642749786376953,12.859999656677246
2016-08-04,184.3408966064453,15.911664962768555,20.974294662475586,22.290836334228516,63.499507904052734,48.604854583740234,36.37434005737305,41.669620513916016,18.75441551208496,19.90512466430664,105.50865173339844,129.8699951171875,78.72000122070312,50.5235595703125,20.676162719726562,12.420000076293945
2016-08-05,185.8486328125,16.21544647216797,21.176834106445312,22.4940242767334,63.651771545410156,49.093177795410156,36.757381439208984,41.73843002319336,18.48477554321289,19.970643997192383,104.41168975830078,127.55000305175781,78.87999725341797,50.636016845703125,20.784767150878906,11.390000343322754
2016-08-08,185.7378692626953,16.235700607299805,21.17234230041504,22.79380989074707,63.110416412353516,49.160518646240234,36.63572311401367,41.69253158569336,18.47749137878418,20.011592864990234,104.60832214355469,127.44000244140625,80.80000305175781,50.84320068359375,20.801475524902344,11.5
