,BTC-USD,ETH-USD,SOL-USD,BNB-USD,XRP-USD,ADA-USD,DOGE-USD,LTC-USD,AVAX-USD,LINK-USD
2024-08-23 05:00:00,0.0026985620647721476,0.012760639494935333,0.007038826736197379,0.00015221317673486112,0.003945903789888683,0.004676576195654203,0.005818554914127638,0.0018551621530225049,-0.015310615523408622,0.00199991498426888
2024-08-23 06:00:00,0.005254137355123589,0.0034996112123391043,0.0009542842028942289,-0.0010035454235444163,0.001995140603749279,0.014461050152048571,0.005749101189569394,0.0041191445951458405,-0.00045538220887797465,0.005205272547962103
2024-08-23 07:00:00,-0.0016082541024911023,-0.0041713998890555715,-0.003160849553968781,-0.0027676108633363228,-0.002841903134684909,0.0006863756424939638,-0.0008621459263604692,-0.0032039774704299973,5.0698722776409966e-05,0.0018262351276487898
2024-08-23 08:00:00,0.0034642826263251436,0.0015542990159049808,-0.0007537826683288174,-0.001477089589712044,0.000548653493957274,0.009837281608924942,-0.00040179746920676607,-0.00017194656704688782,0.00750797410292936,0.0035737960916861766
2024-08-23 09:00:00,-0.0037804355790598265,-0.002494097728139799,-0.004872902579457161,-0.0011318259942383335,-0.0004144198070266114,-0.012519815642406562,-0.004956280793207313,-0.00034386281105458494,0.002682364210409016,-0.003744869145579255
2024-08-23 10:00:00,0.0004697481484878807,-0.00042124761863249205,0.00015735026830832055,-0.00027706284861483965,-0.0005732539408319637,-0.0008148308570710139,0.0006697362579521915,7.749550253244308e-05,0.008498921976946683,-0.005064681774027413
2024-08-23 11:00:00,-0.005978881598114327,-0.004960007165569991,-0.006204840023903202,-0.0008530884804596184,-0.002528163520305049,-0.0037513179191286383,-0.006335749432652804,-0.00281893511359943,-0.007583584877153715,-0.005203817138265787
2024-08-23 12:00:00,0.0069929639958061784,0.005544689886601617,0.006273204117142939,0.003461042099677236,0.0019924051711189827,-0.002084909121932932,0.021657973801824326,0.002168429376944836,0.011270621212101428,0.013375023979523615
2024-08-23 13:00:00,-0.0019065686405728144,-0.005167978692265152,0.0009746572481770244,-0.00010198987088383404,-0.004316824587618395,-0.00647339617667142,-0.004569899991295312,-0.0036295965270713992,-0.0006873469504706797,-0.006579182351901469
2024-08-23 14:00:00,-0.0006546464445325029,-0.0022116067078306045,-0.007811220900323157,-0.0027993584335153088,-0.0005343643706128276,0.0033124886079911597,-0.005107151882367322,0.0018432640047798543,-0.008141011751177096,-0.004798891853882825
2024-08-23 15:00:00,0.009015604176008551,0.008712697339934294,0.007484997612899669,0.005225453616903408,0.006513153441020103,0.012397387718400155,0.023227189637638368,0.01373430034784029,0.0011668276422227564,0.012480575827370721
2024-08-23 16:00:00,0.0031477440959619685,0.002739187588559844,0.004403260314989943,0.0016590357259111954,0.003347655456828691,0.0022375655165794983,0.006415980348693839,0.0020181454098464613,0.0006170872105610847,0.0014722942696825392
2024-08-23 17:00:00,0.01929957208728439,0.018120811229286105,0.019352462105986845,0.006154504194749499,0.006415106877615262,0.0069794871671052805,0.015914523931980895,0.006938407822205228,0.009625483271853419,0.014191700343568314
2024-08-23 18:00:00,0.004145502704961501,-0.00045938461710104406,0.0038168313262225695,-0.0027178333918067565,0.00043908649661505983,0.0021854655931599076,-0.0007754365235403959,0.0030786494412264886,0.006053974698652542,0.005751464904723669
