,TSLA,NVDA,AAPL,MSFT,AMZN,META,JPM,XOM,SPY,GLD,USO,TLT,^VIX
2016-07-26,-0.002176151512766289,0.016917831097266633,-0.006906960406505291,0.0005285997120130226,-0.005450127867068222,-0.003376654910153043,0.004062459016092035,-0.007293278147781912,0.00046176151012478073,0.0042152110508260066,-0.004948074483441367,0.0015849294015088944,0.013889135668433639
2016-07-27,-0.0044541452760644695,-0.010116574944045498,0.06294048681088249,-0.010093024480769763,0.001467155663808395,0.0173377738068341,0.0031139250014908804,-0.00679671637656476,-0.00106197330191371,0.015982694972101363,-0.01801853646613072,0.01237579291879598,-0.01700197570338302
2016-07-28,0.00923548015993969,0.002138126544073804,0.013411119813723005,0.0003558428063006325,0.021407158192586984,0.013369000606181736,-0.0035816770652168373,-0.00784073318258205,0.0011542008577709595,-0.002894093409240739,-0.023506401253288622,-0.0018501158786703442,-0.008610593776210873
2016-07-29,0.017963576089865096,0.016243646604072737,-0.0012465416195226453,0.008326707297067859,0.00820418681480728,-0.008516230033161598,-0.0020300005654116937,-0.013954987272017938,0.001613431895131967,0.010286811942904706,0.009264106521049698,0.008299946999080099,-0.06916137992441973
2016-08-01,-0.02056875946097403,-0.006501144992866803,0.017502719838105474,-0.0017655520727459795,0.011699787950620877,0.0029808391964749603,-0.002660915103244399,-0.035356312043584026,-0.0008295106165192578,0.001859067119480251,-0.03651948649422465,-0.010901139831870132,0.04690285459939947
2016-08-02,-0.012292084744155218,-0.012237369613903704,-0.014915114147583619,0.0,-0.009369878729160064,-0.009862537257430581,-0.0023540862282915853,0.013649613477302758,-0.006427919318833908,0.008092864929715837,-0.00853793069980302,-0.010356033985536861,0.07209632897453488
2016-08-03,-0.006225314026186091,0.0026734159634001498,0.0124600371736876,0.006869178710184887,-0.00784050937071834,-0.004723136714392062,0.015743492787101854,0.00515697801627546,0.002918460134127443,-0.004770787598633142,0.03785937591659572,0.000577752718384339,-0.038891690441796634
2016-08-04,0.02112258214145024,0.018338945777591598,0.006158818645321418,0.007345411009161307,0.008090350914207178,0.014987779335529083,-0.0015476888657164345,-0.00011414354262750948,0.0010630630199228719,0.0016954476164983134,0.015361343972484676,0.007485773106791882,-0.034813609464362294
2016-08-05,-0.0025182407097394943,0.016807262760971997,0.015093021605889323,0.00988249886855197,0.006824930154292641,0.006332526001393113,0.026594507573190818,0.0009141286242533297,0.008145799900562523,-0.01802544401051165,0.0020304072237298243,-0.010452044124497739,-0.08657227504660048
2016-08-08,-0.016966983873728303,0.0092355068547752,0.008246090862249478,0.0017242209429362276,0.0007568958830050931,0.0008785340088124372,-0.0030208099279653844,0.011694273434806668,-0.0005956728768392594,-0.0008627837547008355,0.024049327821701993,0.0018825648409848128,0.009611227767642117
2016-08-09,0.012828586863653069,0.002550440727256964,0.004052309543546961,0.002408273281038209,0.0022803641761202087,-0.001598004197293612,-0.0034856757218322265,0.0012408760813276132,0.0005956728768392594,0.0040720231674322704,-0.002974785191462992,0.009788182068161788,0.01381713246670202
