,US_SP500,EU_DAX,EU_FTSE,JP_Nikkei,HK_HSI,KR_KOSPI
2016-07-26,-0.02080422872668332,0.36353318078936137,0.1839010320267639,-1.0568895410130055,0.4186682930477619,0.4456981059561572
2016-07-27,-0.14650192090482725,0.5389441927964495,0.3673485412081818,1.1539411869731775,0.27127583338697503,-0.11194289739437875
2016-07-28,0.08508856925214171,-0.38972937885717074,-0.45291732434036186,-0.8435251406905461,-0.14212186075592517,-0.16547465346856663
2016-07-29,0.0871581861351066,0.4642619283614417,0.027306186909739502,0.34789998451003407,-0.8838557941107718,-0.1967097343181986
2016-08-01,-0.1523931556660736,-0.08950217008374675,-0.47089150186867723,0.23616013341112915,0.735385096734576,0.3934765121203314
2016-08-03,-0.31610679560679195,-1.3177685196353641,-0.9086113618962076,-2.42203873226412,-1.2220448071081038,-1.1648469926180998
2016-08-04,-0.029903962034112,0.429903659704977,1.5481673134912532,0.7017148145231997,0.28830028719135486,0.13239736912678957
2016-08-05,0.6600447093823377,1.0766937836307673,0.7600111828157556,-0.04748139025386336,0.9730546602561677,0.541952070029579
2016-08-08,-0.12241248046528731,0.48014176411537607,0.20615731397162163,1.648039492906662,1.0653507639348327,0.38541219905556584
2016-08-09,-0.015272033032341465,1.9906499113576694,0.5915395209676237,0.43604721084635345,-0.09316926177590766,0.36611023044912333
2016-08-10,-0.2843848297279322,-0.3571734769012632,0.19701620668416533,-0.17093749682099557,0.0773299849256156,-0.010989136565330921
2016-08-12,0.27686771713910974,0.4464914713059915,0.6926498391889616,0.7269018484711942,0.8262220722835142,0.14697133460353232
2016-08-16,-0.2708676300343141,-0.31632485123956405,-0.3389033387306193,-1.4030784878771445,0.4271738705108317,-0.12446386857408724
2016-08-17,0.10672036114933484,-1.1095297182427,-0.5219836297944717,0.58364658071452,-0.33712764149374935,-0.16597275104870576
2016-08-18,0.13400363047172226,0.4734748823864107,0.12024576154328448,-1.1446951311550455,0.6632745549840948,0.3338537240948608
2016-08-19,-0.1664921252130906,-0.4894947971170913,-0.16591622319200305,0.20914768161998412,-0.2604614474909293,-0.01399289727893826
2016-08-22,-0.09399448140326278,-0.424281423220887,-0.46350508368155646,0.17670049739926483,0.17657323437957523,-0.4856462373950185
2016-08-23,0.11357687692239278,0.7329876151946281,0.5580373724290653,-0.4741794786652414,-0.0013372128897953903,0.20882834044603696
2016-08-24,-0.4813774764266727,0.1987657663846605,-0.49481739885685055,0.37925392725729906,-0.536870123569119,-0.23459655959409179
2016-08-25,-0.16028573869388005,-0.7587632422186765,-0.29605208204256483,-0.221046985487275,-0.021869331051949978,-0.06513373096097656
2016-08-26,-0.17795153439480194,0.41821496978464506,0.2866544548598273,-0.8800032663911302,0.2789469752160017,-0.21130873217440244
2016-08-30,0.22168149816272587,0.5058201367763282,-0.2726914579252897,1.5049424762033312,0.3134333878884564,0.033151305248572904
2016-08-31,-0.24390817610226478,-0.5357969996091435,-0.5946329545034269,0.6326146906444524,-0.12118584290812605,-0.2010174603812078
2016-09-01,-0.05087580757064512,-0.4876882815177376,-0.5420702254021803,0.11850249031215086,0.546131392659972,-0.10015315974078884
2016-09-02,0.29876910169907017,1.122694378143363,2.140156907936036,-0.050400927690598875,0.30346583843869684,0.1403966485048053
2016-09-06,0.19842528389074598,-0.00856091217379597,-1.0119440344635062,0.6009932001346656,1.5120484125045128,0.8566810005280228
2016-09-07,-0.059548372238288766,0.47006576557464447,0.2760948885298551,-0.332517933101479,-0.1365445234356613,-0.18501933797730571
2016-09-08,-0.23125552181930575,-0.6292410098735327,0.1537833341246461,-0.26783412981604005,0.5057658001060765,0.02000890245043063
2016-09-09,-2.097920475306825,-0.8209187398611425,-1.2101968451377147,-0.01659240947677857,0.5100354969773926,-0.859223976682193
2016-09-12,1.1558747934925273,-1.14126375395416,-1.1416736455718408,-1.2702868786395713,-2.342862649157435,-1.5373395590866077
2016-09-13,-1.2814603736077963,-0.3902397537864162,-0.5453702277182362,0.1907778601585843,-0.22476782022289488,0.21869204348672783
2016-09-20,0.4457326601180213,0.02329971534082766,2.40731538387697,-1.0487312419266053,0.918804099953794,0.8139319948691076
2016-09-21,0.8492778296370641,0.30190065666532306,0.03668796319360954,1.287199362638647,0.3990643125317725,0.29113675875247325
2016-09-23,0.012455993501952726,1.4505038428714494,1.055537768575978,-0.2702516942988978,0.04357714841555245,0.5371399827822445
2016-09-26,-0.7597631881566903,-1.8557669542573174,-1.342455662954051,-0.9305100237200956,-1.0782632621738526,-0.25932184330837044
2016-09-27,0.4830428822807992,-0.2889731064838163,-0.17136689691882803,0.5444700102126409,0.7374611143647137,0.45928119242965304
2016-09-28,0.38881720579523704,0.5725485130987964,0.5844235972530626,-0.9729886300574894,0.1342037584664557,-0.3470990301505364
2016-09-29,-0.8209009074801279,-0.2923800816193534,0.9873242032166624,0.9230549554309391,0.342131298629657,0.45626570239647574
2016-09-30,0.6079893840742675,0.7937875884597884,-0.3099850604867438,-1.0807199563967154,-1.2923089183189986,-0.8326994224117867
2016-10-04,-0.7274759833831774,0.8095726998990651,2.4635405772985943,1.1660524878668912,1.1390926965610857,0.318358866390011
2016-10-05,0.3066351231652412,-0.29595200871382804,-0.5980122988612362,0.3048723577122694,0.28083437871386474,-0.09732739567333273
2016-10-06,-0.007696617862389458,-0.16582731088902472,-0.4921957449855432,0.2876092301728602,0.4666455647463898,0.3504673100368722
2016-10-07,-0.3165931822228202,-0.6415998418476745,0.6058638983626412,-0.20813893416242105,-0.29281326875007263,-0.4018535754796515
2016-10-11,-0.7023150575822436,0.6383863599666397,0.35110509311967214,0.6380834630598072,-0.8778172806161003,-0.7352672668747251
2016-10-12,0.04718185178248992,-0.4548793647362883,-0.6815835284394149,-0.8131069169210583,-0.4199056696003861,0.019263204700224724
2016-10-13,-0.30381597630024254,-0.8886940548114823,-0.6774743447531815,-0.3207918523086565,-1.1125582132515008,-0.626451752599105
2016-10-14,-0.030809546186804086,1.2663802971304132,0.4877059461427907,0.29797207390622366,0.5936350448579022,0.19440728565629956
2016-10-17,-0.29874028542722086,-0.6321024900151764,-0.9593506543865464,0.13674732416955707,-0.5838352986990528,0.12073641885301359
2016-10-18,0.45975405351757775,0.9599934723719664,0.7254396782543601,0.21817650533135965,1.048219329055697,0.3719140277257232
2016-10-19,0.13337352531851965,0.07495806105748525,0.28707640629874537,0.10064292022943216,-0.26661629624590233,-0.022109591318351638
2016-10-20,-0.16115379459547477,0.3943556751678088,0.049226720295575316,0.9266529698075405,0.1993319261103223,-0.04921860272867429
2016-10-24,0.3369417235622224,0.4231831097354034,-0.5948132363267513,-0.0499877574691762,0.6652153571196606,0.1889966529018968
2016-10-25,-0.36170003001341344,-0.06350813599262285,0.4206583249266304,0.48636655385849453,-0.11752446235893574,-0.375253581670406
2016-10-26,-0.19131946046092532,-0.39828944046010567,-0.8660969957824268,0.062042639489777694,-0.7044252189213418,-0.7865481682479504
2016-10-27,-0.2944934510836737,0.022639525341165378,0.38411883851056033,-0.2700781570337221,-0.5735694093684283,0.2914562624649586
