,TSLA,NVDA,AAPL,MSFT,AMZN,META,JPM,XOM,SPY,GLD,USO,TLT
2024-08-23 14:30:00,-0.00908091437927716,-0.005770139735486346,-0.008922278241522363,-0.006407663154760712,-0.00544392831141316,-0.008674162714299882,0.0013710040177681293,0.0006037156386486942,-0.001858846679378523,0.0012045550304513597,0.0030554088582448458,0.0006125686991449442
2024-08-23 15:30:00,-0.009210326545715297,-0.009482473518813705,-0.0037023152066204545,-0.006419935526709608,-0.00877434496897056,-0.00782241098538794,-0.009636666541013916,-0.0027595394192667655,-0.005507973495883611,-0.003769078729082942,0.0014580241272907912,-0.00071220569103847
2024-08-23 16:30:00,0.009606204302022192,0.0038006751696242347,0.0037686966716163894,0.003989806927964246,0.0034037139036744435,-0.0004374883065914048,0.003957670276092173,0.006968114524377178,0.0030568062674083407,0.001186138542523807,0.002381272521093436,-0.0021875351253344277
2024-08-23 17:30:00,0.003617576353842189,0.0051378620223268,0.002155979358445137,0.0004691753574830315,0.0009600183568334586,-0.001123420319334656,0.0005597223883926361,-0.0029189921878325364,0.0010524486405660838,0.0003447908875475747,-0.002248802670042238,0.0011706703441403121
2024-08-23 18:30:00,0.0046595818336516714,0.001242747050113735,0.002678205809747425,0.0036465921179758,0.002996336473366057,0.002979147378632696,0.002237998249743356,-0.00042993871263696803,0.0023329709620973915,8.612984111699973e-05,0.0006618842164494154,0.0005085228514367657
2024-08-23 19:30:00,-0.00140630483297155,0.003486865314078713,-0.0012621024450236717,0.0008885677092518307,-0.001580664099354756,-0.002289129670635326,-0.0005955314486607577,0.0005159305138215942,-0.00014223765699661328,-0.00030161843471709915,0.00013236467182942135,0.0005083419297573499
2024-08-26 13:30:00,-0.033840443481000015,-0.0190147070722686,-0.008074044818314086,-0.0057295093271410025,-0.008624680623097625,-0.020492955023599713,0.004344140749013015,0.019411462536245594,-0.00033808563163262306,0.002754582867344091,0.03139305160878969,0.0003557011614381267
2024-08-26 14:30:00,0.002532946783494694,0.0017722350566113931,0.0005333557516653542,0.0008928777176997471,0.002845275988578422,0.006359236826543935,-0.003345661100364161,-0.013326171941877796,-0.0022449271312403596,-0.0019360125572855935,-0.0006286099339947171,-0.0017287557496032946
2024-08-26 15:30:00,0.0014504258065910491,-0.0002754454455740074,0.00328465935584088,-0.0014241661325780086,0.0003125317677561412,0.001439663895991039,0.001518801088509214,0.006556246693506296,0.0009092785334239295,0.000939228384611468,-0.0027099003074821937,5.0936394973888355e-05
2024-08-26 16:30:00,-0.004923014707788553,-0.004299431098315765,0.0013696533848861492,-0.0012810723249687683,-0.002246417488563246,-0.0011708583341647483,0.001553061090522334,0.007612727456288049,-0.00033865206685135263,0.0016412678183774787,0.0025687194734960173,0.0006612387993243374
2024-08-26 17:30:00,-0.0022585918462665333,0.0007902519489189075,-0.0011062193008504195,-0.0016218572690247512,-0.001139324192965141,-0.0016528966224145236,-0.0013245122737286508,-0.0012644376520007938,-0.0012486617758664664,-0.0010744140218426068,0.003075418753417658,-0.0005086004458698667
2024-08-26 18:30:00,0.002645365649938114,0.00039492203334035025,0.0024766948453303073,0.0011137539254395534,-0.0003420418329982411,0.00036542094686531357,-0.00013710907285346963,0.0013066008991016176,0.0003390751211309606,0.0013535831690951738,-0.003190865052143721,-0.0002544360851768346
2024-08-26 19:30:00,0.0018198574420829061,-0.0015014617713102751,0.003658426560916972,0.0008949510861882004,0.0006839667133817784,0.0021321074782107985,0.0018722916215176966,0.0009683012063232965,0.0004994171664973734,-0.0005798546396738047,-0.0012972632840630993,-0.0012221485201875382
